"Date","Price","Open","High","Low","Change %"
"Oct 11, 1982","1.0507","1.0507","1.0507","1.0507","-0.09%"
"Oct 08, 1982","1.0516","1.0516","1.0516","1.0516","-0.43%"
"Oct 07, 1982","1.0561","1.0561","1.0561","1.0561","-0.25%"
"Oct 06, 1982","1.0587","1.0587","1.0587","1.0587","-0.04%"
"Oct 05, 1982","1.0591","1.0591","1.0591","1.0591","0.24%"
"Oct 04, 1982","1.0566","1.0566","1.0566","1.0566","0.26%"
"Oct 01, 1982","1.0539","1.0539","1.0539","1.0539","0.07%"
"Sep 30, 1982","1.0532","1.0532","1.0532","1.0532","0.08%"
"Sep 29, 1982","1.0524","1.0524","1.0524","1.0524","-0.06%"
"Sep 28, 1982","1.0530","1.0530","1.0530","1.0530","0.32%"
"Sep 27, 1982","1.0496","1.0496","1.0496","1.0496","0.06%"
"Sep 24, 1982","1.0490","1.0490","1.0490","1.0490","0.34%"
"Sep 23, 1982","1.0454","1.0454","1.0454","1.0454","0.05%"
"Sep 22, 1982","1.0449","1.0449","1.0449","1.0449","-0.08%"
"Sep 21, 1982","1.0457","1.0457","1.0457","1.0457","0.14%"
"Sep 20, 1982","1.0442","1.0442","1.0442","1.0442","0.04%"
"Sep 17, 1982","1.0438","1.0438","1.0438","1.0438","-0.27%"
"Sep 16, 1982","1.0466","1.0466","1.0466","1.0466","0.22%"
"Sep 15, 1982","1.0443","1.0443","1.0443","1.0443","-0.03%"
"Sep 14, 1982","1.0446","1.0446","1.0446","1.0446","-0.13%"
"Sep 13, 1982","1.0460","1.0460","1.0460","1.0460","0.51%"
"Sep 10, 1982","1.0407","1.0407","1.0407","1.0407","0.39%"
"Sep 09, 1982","1.0367","1.0367","1.0367","1.0367","-0.04%"
"Sep 08, 1982","1.0371","1.0371","1.0371","1.0371","0.36%"
"Sep 07, 1982","1.0334","1.0334","1.0334","1.0334","-0.03%"
"Sep 06, 1982","1.0337","1.0337","1.0337","1.0337","0.16%"
"Sep 03, 1982","1.0321","1.0321","1.0321","1.0321","0.06%"
"Sep 02, 1982","1.0315","1.0315","1.0315","1.0315","-0.27%"
"Sep 01, 1982","1.0343","1.0343","1.0343","1.0343","-0.14%"
"Aug 31, 1982","1.0358","1.0358","1.0358","1.0358","0.84%"
"Aug 27, 1982","1.0272","1.0272","1.0272","1.0272","0.74%"
"Aug 26, 1982","1.0197","1.0197","1.0197","1.0197","0.30%"
"Aug 25, 1982","1.0166","1.0166","1.0166","1.0166","-0.40%"
"Aug 24, 1982","1.0207","1.0207","1.0207","1.0207","-0.22%"
"Aug 23, 1982","1.0230","1.0230","1.0230","1.0230","-0.29%"
"Aug 20, 1982","1.0260","1.0260","1.0260","1.0260","-0.52%"
"Aug 19, 1982","1.0314","1.0314","1.0314","1.0314","0.49%"
"Aug 18, 1982","1.0264","1.0264","1.0264","1.0264","-0.42%"
"Aug 17, 1982","1.0307","1.0307","1.0307","1.0307","0.25%"
"Aug 16, 1982","1.0281","1.0281","1.0281","1.0281","0.27%"
"Aug 13, 1982","1.0253","1.0253","1.0253","1.0253","-0.03%"
"Aug 12, 1982","1.0256","1.0256","1.0256","1.0256","0.31%"
"Aug 11, 1982","1.0224","1.0224","1.0224","1.0224","0.29%"
"Aug 10, 1982","1.0194","1.0194","1.0194","1.0194","-0.03%"
"Aug 09, 1982","1.0197","1.0197","1.0197","1.0197","0.39%"
"Aug 06, 1982","1.0157","1.0157","1.0157","1.0157","0.36%"
"Aug 05, 1982","1.0121","1.0121","1.0121","1.0121","0.27%"
"Aug 04, 1982","1.0094","1.0094","1.0094","1.0094","0.46%"
"Aug 03, 1982","1.0048","1.0048","1.0048","1.0048","0.15%"
"Aug 02, 1982","1.0033","1.0033","1.0033","1.0033","-0.37%"
"Jul 30, 1982","1.0070","1.0070","1.0070","1.0070","0.50%"
"Jul 29, 1982","1.0020","1.0020","1.0020","1.0020","0.44%"
"Jul 28, 1982","0.9976","0.9976","0.9976","0.9976","0.26%"
"Jul 27, 1982","0.9950","0.9950","0.9950","0.9950","0.31%"
"Jul 26, 1982","0.9919","0.9919","0.9919","0.9919","-0.36%"
"Jul 23, 1982","0.9955","0.9955","0.9955","0.9955","0.49%"
"Jul 22, 1982","0.9906","0.9906","0.9906","0.9906","0.13%"
"Jul 21, 1982","0.9893","0.9893","0.9893","0.9893","0.02%"
"Jul 20, 1982","0.9891","0.9891","0.9891","0.9891","0.25%"
"Jul 19, 1982","0.9866","0.9866","0.9866","0.9866","-0.15%"
"Jul 16, 1982","0.9881","0.9881","0.9881","0.9881","-0.04%"
"Jul 15, 1982","0.9885","0.9885","0.9885","0.9885","0.06%"
"Jul 14, 1982","0.9879","0.9879","0.9879","0.9879","0.03%"
"Jul 13, 1982","0.9876","0.9876","0.9876","0.9876","0.38%"
"Jul 12, 1982","0.9839","0.9839","0.9839","0.9839","-0.06%"
"Jul 09, 1982","0.9845","0.9845","0.9845","0.9845","-0.19%"
"Jul 08, 1982","0.9864","0.9864","0.9864","0.9864","-0.11%"
"Jul 07, 1982","0.9875","0.9875","0.9875","0.9875","0.52%"
"Jul 06, 1982","0.9824","0.9824","0.9824","0.9824","-0.01%"
"Jul 05, 1982","0.9825","0.9825","0.9825","0.9825","0.21%"
"Jul 02, 1982","0.9804","0.9804","0.9804","0.9804","0.10%"
"Jul 01, 1982","0.9794","0.9794","0.9794","0.9794","0.21%"
"Jun 30, 1982","0.9773","0.9773","0.9773","0.9773","-0.43%"
"Jun 29, 1982","0.9815","0.9815","0.9815","0.9815","-0.03%"
"Jun 28, 1982","0.9818","0.9818","0.9818","0.9818","0.18%"
"Jun 25, 1982","0.9800","0.9800","0.9800","0.9800","0.35%"
"Jun 24, 1982","0.9766","0.9766","0.9766","0.9766","-0.26%"
"Jun 23, 1982","0.9791","0.9791","0.9791","0.9791","0.24%"
"Jun 22, 1982","0.9768","0.9768","0.9768","0.9768","-0.27%"
"Jun 21, 1982","0.9794","0.9794","0.9794","0.9794","0.39%"
"Jun 18, 1982","0.9756","0.9756","0.9756","0.9756","0.17%"
"Jun 17, 1982","0.9739","0.9739","0.9739","0.9739","0.38%"
"Jun 16, 1982","0.9702","0.9702","0.9702","0.9702","0.23%"
"Jun 15, 1982","0.9680","0.9680","0.9680","0.9680","0.21%"
"Jun 14, 1982","0.9660","0.9660","0.9660","0.9660","0.47%"
"Jun 11, 1982","0.9615","0.9615","0.9615","0.9615","-0.12%"
"Jun 10, 1982","0.9627","0.9627","0.9627","0.9627","0.25%"
"Jun 09, 1982","0.9603","0.9603","0.9603","0.9603","0.18%"
