"Date","Price","Open","High","Low","Change %"
"Oct 08, 1992","0.5915","0.5915","0.5915","0.5915","1.68%"
"Oct 07, 1992","0.5817","0.5817","0.5817","0.5817","-0.27%"
"Oct 06, 1992","0.5833","0.5833","0.5833","0.5833","0.09%"
"Oct 05, 1992","0.5828","0.5828","0.5828","0.5828","0.19%"
"Oct 02, 1992","0.5817","0.5817","0.5817","0.5817","1.82%"
"Oct 01, 1992","0.5713","0.5713","0.5713","0.5713","1.53%"
"Sep 30, 1992","0.5627","0.5627","0.5627","0.5627","-0.50%"
"Sep 29, 1992","0.5655","0.5655","0.5655","0.5655","-2.33%"
"Sep 28, 1992","0.5790","0.5790","0.5790","0.5790","-0.99%"
"Sep 25, 1992","0.5848","0.5848","0.5848","0.5848","-0.17%"
"Sep 24, 1992","0.5858","0.5858","0.5858","0.5858","0.14%"
"Sep 23, 1992","0.5850","0.5850","0.5850","0.5850","-0.09%"
"Sep 22, 1992","0.5855","0.5855","0.5855","0.5855","0.27%"
"Sep 21, 1992","0.5839","0.5839","0.5839","0.5839","1.80%"
"Sep 18, 1992","0.5736","0.5736","0.5736","0.5736","1.81%"
"Sep 17, 1992","0.5634","0.5634","0.5634","0.5634","4.04%"
"Sep 16, 1992","0.5415","0.5415","0.5415","0.5415","2.21%"
"Sep 15, 1992","0.5298","0.5298","0.5298","0.5298","0.32%"
"Sep 14, 1992","0.5281","0.5281","0.5281","0.5281","2.15%"
"Sep 11, 1992","0.5170","0.5170","0.5170","0.5170","2.25%"
"Sep 10, 1992","0.5056","0.5056","0.5056","0.5056","-0.08%"
"Sep 09, 1992","0.5060","0.5060","0.5060","0.5060","1.30%"
"Sep 08, 1992","0.4995","0.4995","0.4995","0.4995","-0.26%"
"Sep 07, 1992","0.5008","0.5008","0.5008","0.5008","-0.24%"
"Sep 04, 1992","0.5020","0.5020","0.5020","0.5020","-0.57%"
"Sep 03, 1992","0.5049","0.5049","0.5049","0.5049","1.16%"
"Sep 02, 1992","0.4991","0.4991","0.4991","0.4991","-0.18%"
"Sep 01, 1992","0.5000","0.5000","0.5000","0.5000","-0.77%"
"Aug 28, 1992","0.5039","0.5039","0.5039","0.5039","-0.30%"
"Aug 27, 1992","0.5054","0.5054","0.5054","0.5054","0.28%"
"Aug 26, 1992","0.5040","0.5040","0.5040","0.5040","0.48%"
"Aug 25, 1992","0.5016","0.5016","0.5016","0.5016","0.10%"
"Aug 24, 1992","0.5011","0.5011","0.5011","0.5011","-3.15%"
"Aug 21, 1992","0.5174","0.5174","0.5174","0.5174","0.25%"
"Aug 20, 1992","0.5161","0.5161","0.5161","0.5161","-0.21%"
"Aug 19, 1992","0.5172","0.5172","0.5172","0.5172","-0.14%"
"Aug 18, 1992","0.5179","0.5179","0.5179","0.5179","-0.27%"
"Aug 17, 1992","0.5193","0.5193","0.5193","0.5193","-0.35%"
"Aug 14, 1992","0.5211","0.5211","0.5211","0.5211","0.68%"
"Aug 13, 1992","0.5176","0.5176","0.5176","0.5176","-0.25%"
"Aug 12, 1992","0.5189","0.5189","0.5189","0.5189","-0.33%"
"Aug 11, 1992","0.5206","0.5206","0.5206","0.5206","0.35%"
"Aug 10, 1992","0.5188","0.5188","0.5188","0.5188","-0.02%"
"Aug 07, 1992","0.5189","0.5189","0.5189","0.5189","-0.99%"
"Aug 06, 1992","0.5241","0.5241","0.5241","0.5241","0.48%"
"Aug 05, 1992","0.5216","0.5216","0.5216","0.5216","0.31%"
"Aug 04, 1992","0.5200","0.5200","0.5200","0.5200","0.17%"
"Aug 03, 1992","0.5191","0.5191","0.5191","0.5191","0.00%"
"Jul 31, 1992","0.5191","0.5191","0.5191","0.5191","-0.46%"
"Jul 30, 1992","0.5215","0.5215","0.5215","0.5215","0.17%"
"Jul 29, 1992","0.5206","0.5206","0.5206","0.5206","0.35%"
"Jul 28, 1992","0.5188","0.5188","0.5188","0.5188","-0.44%"
"Jul 27, 1992","0.5211","0.5211","0.5211","0.5211","-1.12%"
"Jul 24, 1992","0.5270","0.5270","0.5270","0.5270","0.75%"
"Jul 23, 1992","0.5231","0.5231","0.5231","0.5231","-0.38%"
"Jul 22, 1992","0.5251","0.5251","0.5251","0.5251","0.21%"
"Jul 21, 1992","0.5240","0.5240","0.5240","0.5240","0.50%"
"Jul 20, 1992","0.5214","0.5214","0.5214","0.5214","1.66%"
"Jul 17, 1992","0.5129","0.5129","0.5129","0.5129","-0.72%"
"Jul 16, 1992","0.5166","0.5166","0.5166","0.5166","-0.44%"
"Jul 15, 1992","0.5189","0.5189","0.5189","0.5189","-0.57%"
"Jul 14, 1992","0.5219","0.5219","0.5219","0.5219","0.58%"
"Jul 13, 1992","0.5189","0.5189","0.5189","0.5189","-0.40%"
"Jul 10, 1992","0.5210","0.5210","0.5210","0.5210","-0.65%"
"Jul 09, 1992","0.5244","0.5244","0.5244","0.5244","0.88%"
"Jul 08, 1992","0.5198","0.5198","0.5198","0.5198","-0.02%"
"Jul 07, 1992","0.5199","0.5199","0.5199","0.5199","-0.69%"
"Jul 06, 1992","0.5235","0.5235","0.5235","0.5235","-0.27%"
"Jul 03, 1992","0.5249","0.5249","0.5249","0.5249","0.65%"
"Jul 02, 1992","0.5215","0.5215","0.5215","0.5215","-0.23%"
"Jul 01, 1992","0.5227","0.5227","0.5227","0.5227","-0.53%"
"Jun 30, 1992","0.5255","0.5255","0.5255","0.5255","0.19%"
"Jun 29, 1992","0.5245","0.5245","0.5245","0.5245","-0.53%"
"Jun 26, 1992","0.5273","0.5273","0.5273","0.5273","-0.17%"
"Jun 25, 1992","0.5282","0.5282","0.5282","0.5282","-0.79%"
"Jun 24, 1992","0.5324","0.5324","0.5324","0.5324","-0.82%"
"Jun 23, 1992","0.5368","0.5368","0.5368","0.5368","-0.06%"
"Jun 22, 1992","0.5371","0.5371","0.5371","0.5371","0.00%"
"Jun 19, 1992","0.5371","0.5371","0.5371","0.5371","0.21%"
"Jun 18, 1992","0.5360","0.5360","0.5360","0.5360","-0.41%"
"Jun 17, 1992","0.5382","0.5382","0.5382","0.5382","-0.11%"
"Jun 16, 1992","0.5388","0.5388","0.5388","0.5388","0.13%"
"Jun 15, 1992","0.5381","0.5381","0.5381","0.5381","-0.41%"
"Jun 12, 1992","0.5403","0.5403","0.5403","0.5403","-0.24%"
"Jun 11, 1992","0.5416","0.5416","0.5416","0.5416","-0.64%"
"Jun 10, 1992","0.5451","0.5451","0.5451","0.5451","-0.09%"
"Jun 09, 1992","0.5456","0.5456","0.5456","0.5456","0.06%"
"Jun 08, 1992","0.5453","0.5453","0.5453","0.5453","-0.02%"
"Jun 05, 1992","0.5454","0.5454","0.5454","0.5454","-0.57%"
"Jun 04, 1992","0.5485","0.5485","0.5485","0.5485","-0.35%"
"Jun 03, 1992","0.5504","0.5504","0.5504","0.5504","0.44%"
"Jun 02, 1992","0.5480","0.5480","0.5480","0.5480","-0.04%"
"Jun 01, 1992","0.5482","0.5482","0.5482","0.5482","0.38%"
"May 29, 1992","0.5461","0.5461","0.5461","0.5461","-1.44%"
"May 28, 1992","0.5541","0.5541","0.5541","0.5541","-0.13%"
"May 27, 1992","0.5548","0.5548","0.5548","0.5548","1.33%"
"May 26, 1992","0.5475","0.5475","0.5475","0.5475","-0.60%"
"May 22, 1992","0.5508","0.5508","0.5508","0.5508","0.18%"
"May 21, 1992","0.5498","0.5498","0.5498","0.5498","0.71%"
"May 20, 1992","0.5459","0.5459","0.5459","0.5459","0.42%"
"May 19, 1992","0.5436","0.5436","0.5436","0.5436","-0.18%"
