"Date","Price","Open","High","Low","Change %"
"Nov 15, 2019","1.4663","1.4734","1.4749","1.4652","-0.48%"
"Nov 14, 2019","1.4734","1.4624","1.4773","1.4613","0.75%"
"Nov 13, 2019","1.4624","1.4618","1.4660","1.4579","0.06%"
"Nov 12, 2019","1.4615","1.4601","1.4642","1.4582","0.13%"
"Nov 11, 2019","1.4596","1.4565","1.4606","1.4547","0.14%"
"Nov 08, 2019","1.4575","1.4497","1.4607","1.4480","0.54%"
"Nov 07, 2019","1.4497","1.4528","1.4573","1.4461","-0.21%"
"Nov 06, 2019","1.4528","1.4506","1.4561","1.4474","0.15%"
"Nov 05, 2019","1.4506","1.4525","1.4542","1.4429","-0.14%"
"Nov 04, 2019","1.4526","1.4472","1.4542","1.4437","0.44%"
"Nov 01, 2019","1.4463","1.4505","1.4526","1.4445","-0.29%"
"Oct 31, 2019","1.4505","1.4484","1.4528","1.4428","0.13%"
"Oct 30, 2019","1.4486","1.4567","1.4604","1.4481","-0.56%"
"Oct 29, 2019","1.4568","1.4619","1.4629","1.4546","-0.38%"
"Oct 28, 2019","1.4623","1.4642","1.4681","1.4604","-0.23%"
"Oct 25, 2019","1.4656","1.4660","1.4686","1.4624","-0.05%"
"Oct 24, 2019","1.4664","1.4591","1.4686","1.4583","0.51%"
"Oct 23, 2019","1.4590","1.4588","1.4635","1.4569","0.03%"
"Oct 22, 2019","1.4585","1.4561","1.4599","1.4527","0.17%"
"Oct 21, 2019","1.4560","1.4589","1.4624","1.4534","-0.18%"
"Oct 18, 2019","1.4586","1.4654","1.4660","1.4581","-0.47%"
"Oct 17, 2019","1.4655","1.4796","1.4809","1.4629","-0.95%"
"Oct 16, 2019","1.4796","1.4809","1.4877","1.4781","-0.08%"
"Oct 15, 2019","1.4808","1.4762","1.4830","1.4727","0.33%"
"Oct 14, 2019","1.4760","1.4721","1.4812","1.4701","0.21%"
"Oct 11, 2019","1.4729","1.4793","1.4810","1.4683","-0.41%"
"Oct 10, 2019","1.4790","1.4866","1.4902","1.4757","-0.53%"
"Oct 09, 2019","1.4869","1.4865","1.4877","1.4815","0.05%"
"Oct 08, 2019","1.4861","1.4852","1.4874","1.4795","0.05%"
"Oct 07, 2019","1.4854","1.4773","1.4862","1.4761","0.55%"
"Oct 04, 2019","1.4773","1.4830","1.4841","1.4758","-0.40%"
"Oct 03, 2019","1.4832","1.4910","1.4922","1.4805","-0.54%"
"Oct 02, 2019","1.4913","1.4917","1.4993","1.4885","-0.02%"
"Oct 01, 2019","1.4916","1.4817","1.4990","1.4761","0.66%"
"Sep 30, 2019","1.4818","1.4786","1.4837","1.4770","0.25%"
"Sep 27, 2019","1.4781","1.4816","1.4829","1.4746","-0.24%"
"Sep 26, 2019","1.4817","1.4808","1.4823","1.4743","0.03%"
"Sep 25, 2019","1.4812","1.4702","1.4840","1.4695","0.75%"
"Sep 24, 2019","1.4702","1.4765","1.4783","1.4691","-0.42%"
"Sep 23, 2019","1.4764","1.4750","1.4784","1.4743","-0.06%"
"Sep 20, 2019","1.4773","1.4723","1.4793","1.4682","0.35%"
"Sep 19, 2019","1.4721","1.4645","1.4749","1.4633","0.51%"
"Sep 18, 2019","1.4646","1.4563","1.4681","1.4554","0.56%"
"Sep 17, 2019","1.4564","1.4570","1.4645","1.4555","-0.01%"
"Sep 16, 2019","1.4566","1.4520","1.4591","1.4513","0.19%"
"Sep 13, 2019","1.4539","1.4564","1.4579","1.4509","-0.16%"
"Sep 12, 2019","1.4563","1.4573","1.4578","1.4502","-0.07%"
"Sep 11, 2019","1.4573","1.4575","1.4603","1.4522","-0.01%"
"Sep 10, 2019","1.4575","1.4575","1.4605","1.4554","0.01%"
"Sep 09, 2019","1.4573","1.4603","1.4628","1.4539","-0.22%"
"Sep 06, 2019","1.4605","1.4671","1.4691","1.4571","-0.46%"
"Sep 05, 2019","1.4673","1.4714","1.4722","1.4640","-0.27%"
"Sep 04, 2019","1.4712","1.4797","1.4805","1.4700","-0.57%"
"Sep 03, 2019","1.4797","1.4885","1.4954","1.4782","-0.62%"
"Sep 02, 2019","1.4890","1.4875","1.4907","1.4843","0.31%"
"Aug 30, 2019","1.4844","1.4862","1.4912","1.4832","-0.15%"
"Aug 29, 2019","1.4867","1.4853","1.4893","1.4808","0.11%"
"Aug 28, 2019","1.4850","1.4810","1.4854","1.4786","0.27%"
"Aug 27, 2019","1.4810","1.4761","1.4824","1.4746","0.34%"
"Aug 26, 2019","1.4760","1.4852","1.4950","1.4727","-0.28%"
"Aug 23, 2019","1.4801","1.4803","1.4849","1.4752","0.01%"
"Aug 22, 2019","1.4800","1.4748","1.4812","1.4730","0.36%"
